,verse,citation count,verse texts,filter row
1380,Matt 13:55,1,"['Není-liž to syn tesařův? zda nejmenuje se matka jeho Maria a bratři jeho Jakub a Josef a Šimon a Juda? a sestry jeho, nejsou-li všecky u nás?']",low
1381,Matt 12:46,1,"['A když on ještě mluvil k zástupům, aj matka jeho a bratří stáli vně, žádajíce s ním mluviti.']",low
1382,Matt 12:48,1,"['On pak odpovídaje tomu, který mu to byl pověděl, řekl: „Kdo jest matka má, a kdo jsou bratři moji?“']",low
1383,John 19:25,1,['Stály pak u kříže Ježíšova jeho matka a sestra matky jeho Maria Kleofášova a Maria Magdalena.'],low
1384,1John 3:18,1,"['Synáčkové moji, nemilújmež slovem, ani jazykem, ale skutkem a pravdou.']",low
1385,Deut 15:11,1,"['V zemi, v níž budeš sídliti, nebude se nedostávati chudých; proto ti přikazuji, abys otvíral ruku potřebnému bratru svému a chudému, který s tebou v zemi přebývá.']",low
1386,Matt 5:46,1,"['Neboť milujete-li ty, kteří vás milují, jakou odplatu míti budete? Zdali nečiní toho i celníci?']",low
1387,Prov 25:21,1,"['Lační-li tvůj nepřítel, dej mu jísti, a jestli žízní, dej mu vody píti;']",low
1388,John 15:22,1,"['Kdybych byl nepřišel, a nemluvil jim, hříchu by neměli; ale nyní výmluvy nemají z hříchu svého.']",low
1389,Luke 20:18,1,"['Každý, kdož padne na ten kámen, rozrazí se; a na kohož by on upadl, potřeť jej.']",low
1390,Gen 32:27,1,['Řekl tedy: Které jest jméno tvé? Odpověděl: Jákob.'],low
1391,Gen 32:30,1,"['I nazval Jákob jméno místa toho Fanuel, řka: Viděl sem Boha tváří v tvář, a spasena jest učiněna duše má.']",low
1392,John 14:5,1,"['Řekl mu Tomáš: „Pane, nevíme, kam jdeš: i kterak můžeme znáti cestu?“']",low
1393,2Macc 14:26,2,"['Ale Alcim vida jejich vzájemnou lásku a smlouvy přišel k Demetriovi a pravil, že Nikanor svoluje k nepřátelským podnikům a že Judu, úkladníka říše, nástupcem jeho ustanovil.']",low
1394,Acts 2:13,1,['Ale jiní posmívajíce se pravili: „Jsou plni sladkého vína.“'],low
1395,Acts 2:41,1,"['I byli pokřtěni ti, kteří přijali řeč jeho; a připojilo se jich v ten den as tři tisíce duší.']",low
1396,2Pet 1:2,1,"['Milost vám a pokoj naplněn buď v poznání Boha, a Krista Ježíše Pána našeho:']",low
1397,Josh 17:16,1,"['Synové Josefovi mu odpověděli: Na hory nebude nám možno se dostati, ježto Kanaanští, sídlící v rovině, kde je Bet-san se svými vesničkami, a Jezrael, zabírající střed nížiny, užívají železných vozů.']",low
1398,2Cor 3:6,2,"['on nás učinil také dostatečnými jako služebníky nové smlouvy, smlouvy ne litery, ale ducha. Neboť litera zabíjí, ale duch oživuje.']",low
1399,1Sam 2:14,1,"['i strkal ji do kotlíku, do pánve, do hrnce nebo do kotle, a vše, co vidličkou vyzdvihl, brával kněz sobě; tak činívali všem. Israelitům, kteří přicházeli do Sila.']",low
1400,Ezek 20:15,1,"['Já tedy pozdvihl sem ruku svou na ně na poušti, abych jich neuvedl do země, kterouž sem jim dal, tekoucí mlékem a strdí, nejpřednější ze všech zemí:']",low
1401,Zech 4:13,3,"['I řekl mi: „Zda (skutečně) nevíš, co tyto věci jsou?"" Odpověděl jsem: „Ne, pane můj!""']",low
1402,Jer 6:3,5,"['Přijdou na ni pastýři se svými stády, rozbijí na ní stany kolem dokola; spase každý, co mu do rukou přijde.']",low
1403,Num 22:12,1,"['Bůh řekl Balaamovi: Nechoď s nimi a lidu toho neproklínej, neboť jest požehnaný.']",low
1404,Sir 37:21,1,"['Zlé oko měnívá smýšlení; z něho pocházejí čtyři věci: dobro a zlo, život a smrt; a pánem nad nimi ustavičným jest – jazyk. Bývá muž zběhlý, který vzdělává mnohé, ale sám sobě jest neužitečný.']",low
1405,Ezek 31:14,1,"['Proto nesmí se pozdvihovati pro svou výši žádný strom u vody, nesmí hnáti vrch svůj mezi hustým a listnatým větvovím do výše, aniž smí pyšně státi ve své výši cokoliv bývá zavlažováno vodami; neboť všichni jsou odevzdáni smrti pro nejzazší kraj, mezi lidi, mezi ty, kteří padají do jámy.']",low
1406,Ezek 31:11,1,"['Protož vydal jsem jej v ruku nejsilnějšího z národů, aby s ním přísně nakládal; pro bezbožnost jeho vyhnal jsem jej.']",low
1407,Ezek 24:19,11,"['I řekl mně lid: „Proč nám neoznamuješ, co znamenají tyto věci, jež činíš?""']",low
1408,Prov 3:13,1,"['Blaze člověku, který nalezl moudrost, a jenž oplývá opatrností;']",low
1409,Gen 27:28,1,"['Dejž tobě Bůh z rosy Nebeské, a z tučnosti zemské, hojnost obilí a vína.']",low
1410,Matt 12:1,1,"['V ten čas šel Ježíš v sobotu skrze obilí, učedlníci pak jeho lační jsouce, počali vymínati klasy a jísti.']",low
1411,Matt 3:12,1,"['Jehožto věječka v ruce jeho, a vyčistí-ť humno své, a shromáždí pšenici svou do obilnice: ale plevy páliti bude ohněm neuhasitedlným.']",low
1412,Deut 11:9,5,"['a dlouho byli živi v té zemi, oplývající mlékem a medem, kterou přísežně slíbil Hospodin otcům vašim a jejich potomstvu.', 'A aby se prodlili dnové vaši na zemi, kterouž s přísahou zaslíbil dáti Hospodin otcům vašim i semeni jejich, zemi mlékem a strdí oplývající.']",low
1413,Matt 3:4,1,"['Ten pak Jan měl roucho z srstí velbloudových, a pás kožený okolo bedr svých, a pokrm jeho byl kobylky a med lesní.']",low
1414,Rev 10:10,1,"['I vzal sem knihu z ruky Anjela, a požřel sem ji: i bylo v ustech mých sladko jako med: a když sem ji požřel, hořko mi bylo v břiše mém.']",low
1415,Matt 26:7,1,"['Přistoupila k němu žena, mající nádobu alabastrovou masti velmi drahé, i vylila ji na hlavu jeho, když seděl za stolem.']",low
1416,Luke 7:46,1,['Olejem hlavy mé nepomazal si: ale tato mastí mazala nohy mé.'],low
1417,Luke 12:18,2,"['I řekl: Toto učiním: Zbořím stodoly své, a větších nastavím, a tu shromáždím všecky své úrody i zboží svá.', 'A řekl: ,Tohle učiním: Zbořím své stodoly a vystavím větší, a tam složím úrodu svou i všecko zboží své']",low
1418,Matt 24:41,1,"['Dvě budou mleti ve mlýně; jedna bude vzata, a druhá zanechána.']",low
1419,Luke 16:21,1,"['žádaje nasycen býti z drobtů, kteříž padali z stolu bohatého: a žádný mu nedával: ale i psy přicházeli, a lízali vředy jeho.']",low
1420,Rev 18:21,1,"['I zdvihl jeden silný anděl kámen jako žernov veliký, a hodil jím do moře, řka: Tak prudce uvržen bude Babylon, to město veliké, a nikoli více nebude nalezen.']",low
1421,Rev 14:8,1,"['A jiný anděl letěl za ním, řka: Padl, padl Babylon, to město veliké, nebo vínem hněvu smilství svého napájelo všecky národy.']",low
1422,Lev 11:41,1,"['Tolikéž všeliký zeměplaz, kterýž se plazí po zemi, v ohavnosti bude vám; nebudete ho jísti.']",low
1423,Gen 1:31,5,"['A viděl Bůh všecko, co byl učinil, a bylo to velmi dobré. A nastal večer a jitro, den šestý.']",low
1424,Josh 6:21,2,"['I pobili všecko, co v něm bylo, od muže až do ženy, od dítěte až do starce. Také hovězí dobytek, ovce i osly pobili ostřím meče.']",low
1425,2Macc 12:45,1,"['a maje na zřeteli, že ti, kteří zbožně zemřeli, mají výbornou odměnu složenou.']",low
1426,Isa 57:11,1,"['Koho se tak úzkostlivě obáváš, že lžeš? Na mne si nevzpomínáš, mne si nevšímáš. Protože já mlčím a jako bych neviděl, (proto) na mne zapomínáš?']",low
1427,1John 4:17,1,"['V tom je k dokonalosti přivedena láska s námi, že máme důvěru v den soudu, poněvadž, jaký jest on, i my jsme v tomto světě. ']",low
1428,Lev 22:29,1,"['Budete-li přinášeti Hospodinu obět dikův, aby byla (vám) prospěšná,']",low
1429,1Kgs 19:14,1,"['„Horlím pro Hospodina, Boha zástupů, že opustili smlouvu tvou synové Israelovi, oltáře tvé pobořili, proroky tvé pobili mečem; já jediný jsem zůstal, a hledají života mého, by mi jej vzali.""']",low
1430,Gen 3:18,1,"['Trní a bodláčí tobě ploditi bude, i budeš jísti byliny polní.']",low
1431,Acts 4:16,1,"['a radili se mezi sebou: „Co máme udělati s těmi lidmi? Vždyť je všem obyvatelům Jeruzaléma známo, že se skrze ně stalo patrné znamení, a my to nemůžeme popříti.']",low
1432,Isa 50:2,1,"['Proč, když přicházím, není žádného, když volám, žádný se neozývá? Zdaliž jest naprosto ukrácena ruka má, aby nemohla vykoupiti? A žádné-liž není ve mně moci k vysvobození? Aj, žehráním svým vysušuji moře, obracím řeky v poušť, až se smrazují ryby jejich, proto že nebývá vody, a mrou žízní.']",low
1433,Gen 18:6,1,"['Abraham, pospíšiv do stanu k Sáře, pravil: Rychle, směs tři míry jemné mouky a nadělej podpopelných chlebů.']",low
1434,1Kgs 17:13,1,"['Eliáš jí pravil: „Neboj se! jdi a učiň, jak jsi řekla; avšak mně nejprve udělej z té mouky podpopelný chlebíček a přines mi jej; sobě pak a synu svému uděláš potom.']",low
1435,Matt 12:3,1,"['On pak řekl jim: Co jste nečtli, co učinil David, když lačněl, on i ti, kteříž s ním byli?']",low
1436,Matt 12:4,1,"['Kterak všel do domu Božího a chleby posvátné jedl, kterýchž jemu neslušelo jísti, ani těm, kteříž s ním byli, než toliko samým kněžím?']",low
1437,1Cor 5:6,1,"['Neníť dobrá chlouba vaše. Zdaliž nevíte, že maličko kvasu všecko těsto nakvašuje?']",low
1438,Gal 5:9,1,['Maličko kvasu všecko těsto nakvašuje.'],low
1439,Matt 16:5,1,"['A když se přeplavili učedlníci jeho přes moře, zapomenuli vzíti chleba.']",low
1440,Matt 16:6,1,['I řekl jim (Ježíš): „Hleďte a varujte se kvasu farisejského a saducejského.“'],low
1441,John 6:31,1,"['Otcové naší jedli mannu na poušti, jakož psáno jest: Chléb z Nebe dal jim jísti.']",low
1442,Matt 15:2,1,"['Proč učedlníci tvoji přestupují ustanovení starších? Nebo neumývají rukou svých, když mají jísti chléb.']",low
1443,1Cor 10:17,1,"['Poněvadž jeden chléb, jedno tělo mnozí jsme; všickni zajisté jednoho chleba účastni jsme.']",low
1444,Matt 7:9,2,"['An který z vás jest člověk, jehož kdyby prosil syn jeho za chléb, dal by jemu kámen?']",low
1445,John 2:10,1,"['A řekl mu: Každý člověk nejprvé dobré víno dává, a když by se hojně napili, tedy to, kteréž horší. Ty zachoval jsi víno dobré až dosavad.']",low
1446,1Tim 5:23,1,"['Nepí již více vody, ale vína skrovně užívej, pro svůj žaludek a časté nemoci své.']",low
1447,Luke 1:15,1,"['Bude zajisté veliký před oblíčejem Páně, a vína i nápoje opojného nebude píti, a Duchem svatým bude naplněn hned od života matky své.']",low
1448,Rom 14:21,1,"['Dobré jest nejísti masa a nepiti vína, ani na čem se koli uráží bratr tvůj, neb horší, aneb zemdlívá.']",low
1449,Luke 15:16,1,"['I žádal nasytiti břicho své mlátem, kteréž svině jedly, ale žádný nedával jemu.']",low
1450,Ruth 2:14,1,"['I pravil jí Booz: „Když bude čas k jídlu, přijď sem, pojez chleba a omoč skývu v octě."" Posadila se tedy vedle žencův, on jí nahrnul pražmy, i jedla, nasytila se a ještě jí zbylo.']",low
1451,Matt 27:48,1,"['A hned jeden z nich běžev, a vzav hubu, naplnil ji octem, a vloživ na tresť, napájel ho.']",low
1452,1Sam 16:1,1,"['Řekl pak Hospodin Samuelovi: I dokudž ty budeš plakati Saule, poněvadž jsem já ho zavrhl, aby nekraloval nad Izraelem? Naplň roh svůj olejem a poď, pošli tě k Izai Betlémskému; nebo jsem vybral sobě z synů jeho krále.']",low
1453,Jas 5:14,2,"['Stůně-li kdo z vás? Zavolej starších zboru, ať se modlí za něho, mažíce jej olejem ve jménu Páně.', 'Stůně-li kdo z vás, povolej k sobě kněží církve, a (ti) ať se modlí nad ním, mažíce ho olejem ve jménu Páně,']",low
1454,Mark 6:13,1,"['A ďábelství mnohá vymítali, a mazali olejem mnohé nemocné, i uzdravovali.']",low
1455,Matt 25:1,1,"['Tehdy podobno bude království nebeské desíti pannám, kteréžto vzavše lampy své, vyšly proti ženichovi.']",low
1456,Matt 25:4,1,['Opatrné pak vzaly olej v nádobkách svých s lampami svými.'],low
1457,Mark 9:3,1,"['A učiněno jest roucho jeho stkvoucí a bílé velmi jako sníh, ješto tak bílého bělič na zemi učiniti nemůže.']",low
1458,1Cor 9:7,1,"['Kdo bojuje kdy na svůj žold? Kdo štěpuje vinnici, a z ovoce jejího není? Kdo pase stádo, a mléka od stáda nejí?']",low
1459,Matt 10:18,3,"['Ano i před vládaře i před krále vedeni budete pro mne, na svědectví proti nim, i národům.']",low
1460,Jas 5:1,2,"['Nuže nyní, boháči, plačte, kvílíce nad bídami svými, kteréž přijdou.']",low
1461,Col 3:11,1,"['V něm již není rozdílu mezi Řekem a Židem, obřezaným a neobřezaným, barbarem, Skytou, otrokem, svobodným, nýbrž všecko a ve všem jest jen Kristus. ']",low
1462,Luke 8:6,7,"['A jiné padlo na skálu a vzešedši uschlo, poněvadž nemělo vláhy.', 'A jiné padlo na skálu, a vzešlé uvadlo, proto že nemělo vláhy.']",low
1463,Phil 1:23,1,"['Ouzko pak mi jest z obou stran: žádost maje rozdělen býti, a býti s Kristem, což mnohem lépe jest:']",low
1464,Sir 36:12,3,"['Rozdrť hlavu knížat nepřátelských, kteří říkají: „Nikdo se nám nevyrovná!""']",low
1465,Josh 19:47,1,"['Přišlo pak pomezí synům Dan příliš malé. Protož vstoupili synové Dan, a bojovali proti Lesen, a dobyvše ho, pobili obyvatele ostrostí meče, a vzavše je v dědictví, bydlili tam, a přezděli Lesenu Dan, vedlé jména Dan otce svého.']",low
1466,Gen 28:13,1,"['A aj, Hospodin stál nad ním, a řekl: Já jsem Hospodin, Bůh Abrahama otce tvého, a Bůh Izákův; zemi tu, na kteréž ty spíš, tobě dám a semeni tvému.']",low
1467,Zeph 1:15,1,"['Den rozhněvání bude ten den, den úzkosti a trápení, den zpuštění a to hrozného, den temnosti a mračna, den oblaku a mrákoty,']",low
1468,Joel 2:4,1,"['Způsob jeho bude jako způsob koní, a jako jízdní, tak poběhnou.']",low
1469,Joel 1:5,1,"['Prociťte opilci, a plačte a kvělte všickni, kteříž píjíte víno, proto že odtržen jest mest od úst vašich.']",low
1470,Joel 1:12,1,"['Vinný kmen usechl, a fík usvadl, strom zrnatých jablek, též i palma i jabloň, všecko dříví polní poschlo, a že odňato potěšení od synů lidských.']",low
1471,Joel 2:20,1,"['Nebo půlnoční vojsko vzdálím od vás, a zaženu je do země vyprahlé a pusté, přední houf jeho k moři východnímu, konec pak jeho k moři nejdalšímu; i vzejde z něho smrad a puch, jakžkoli sobě mocně počíná.']",low
1472,Joel 2:25,1,"['A tak nahradím vám léta, kteráž sežraly kobylky, brouci, chroustové a housenky, vojsko mé veliké, kteréž jsem posílal na vás.']",low
1473,Dan 2:5,1,"['Tu král ujav slovo řekl Chaldům: „Toto ustanovuji pevně: nepovíte-li mi, co se mně zdálo, a nevyložíte-li mi toho, zahynete vy a domy vaše budou zabrány.']",low
1474,Ps 71:1,1,['Za Šalomouna.'],low
1475,John 15:7,7,"['Zůstanete-li ve mně a mé řeči zůstanou ve vás, poproste, oč chcete, a dostane se vám toho. ']",low
1476,Job 34:4,1,"['Soud sobě zvolme, a vyhledejme mezi sebou, co by bylo dobrého.']",low
1477,2Cor 1:4,1,"['jenž nás potěšuje ve všelikém soužení našem, abychom mohli těšiti ty, kteří jsou ve všelikém soužení, (a to) útěchou, kterou my sami býváme potěšováni od Boha.']",low
1478,Gen 32:9,1,"['Pravil dále: Bože otce mého Abrahama a Bože otce mého Isáka, Hospodine, který jsi mi řekl: Návrat se do své země a na místo, kde ses narodil, budu ti dobře činiti;']",low
1479,Matt 18:15,1,"['„Zhřešil-li pak (proti tobě) bratr tvůj, jdi a pokárej ho mezi sebou a jím samým. Poslechne-li tě, získal jsi bratra svého;']",low
1480,Matt 6:15,1,"['Jestliže pak neodpustíte lidem pádů jejich, aniž Otec váš odpustí vám pádů vašich.']",low
1481,Matt 7:2,2,"['Nebo kterýmž soudem soudíte, týmž budete souzeni, a kterou měrou měříte, bude vám zase odměřeno.', 'neboť jakým soudem soudíte, takovým budete souzeni, a jakou měrou měříte, takovou bude vám odměřeno.']",low
1482,1Cor 3:6,1,"['Jáť jsem štípil, Apollo zaléval, ale Bůh dal zrůst.']",low
1483,Esth 6:3,1,"['Král uslyšev to, řekl: „Jaké cti a odplaty dostalo se za tu věrnost Mardocheovi?"" Služebníci jeho a dvořané odpověděli mu: „Dokonce žádné odměny, nedostal.""']",low
1484,John 7:18,1,"['Kdo sám od sebe mluví, chvály vlastní hledá: kdož pak hledá chvály toho, kterýž ho poslal, tenť jest pravdomluvný, a nespravedlnosti v něm není.']",low
1485,Ps 2:9,6,"['Roztlučeš je prutem železným, a jako nádobu hrnčířskou roztříštíš je.']",low
1486,Luke 22:25,1,"['I řekl jim: „Králové národu panují nad nimi, a ti, kteří mají nad nimi moc, nazývají se dobrodinci,']",low
1487,Gal 6:3,1,"['Nebo domnívá-li se kdo, žeby nětco byl, nic nejsa, sám sebe svodí.']",low
1488,John 4:21,1,"['Dí jí Ježíš: Ženo, věř mi, žeť jde hodina, kdyžto ani na této hoře, ani v Jeruzalémě nebudete se modliti Otci.']",low
1489,John 4:22,1,"['Vy se modlíte, a nevíte, čemu; my se modlíme, čemuž víme, nebo spasení z Židů jest.']",low
1490,Matt 6:7,2,"['Modléce se pak, nebuďtež marnomluvní jako pohané; nebo se domnívají, že pro tu svou mnohomluvnost vyslyšáni budou.']",low
1491,Matt 23:25,1,"['Běda vám, zákoníci a fariseové, pokrytci, neboť čistíte číši a mísu po vrchu, uvnitř však jsou plny loupeže a nečistoty.']",low
1492,Matt 20:28,1,"['Jako i Syn člověka nepřišel, aby jemu slouženo bylo, ale aby on sloužil, a aby dal život svůj mzdu na vykoupení za mnohé.']",low
1493,John 18:7,9,['Zeptal se jich po druhé: „Koho hledáte?“ Oni řekli: „Ježíše Nazorejského!“'],low
1494,Heb 10:2,3,"['sic jinak byly by přestaly se přínášeti, poněvadž by neměli již žádného vědomí hříchu ti, kteří konají službu (Boží), jsouce jednou očištěni.']",low
1495,Isa 28:9,1,"['Kohož by vyučoval umění? A komu by posloužil, aby vyrozuměl naučení? Zdali ostaveným od mléka, odtrženým od prsí?']",low
1496,Ps 97:7,2,"['Zastyďte se všickni, kteříž sloužíte rytinám, kteříž se chlubíte modlami; sklánějte se před ním všickni bohové.']",low
1497,Deut 5:9,3,"['Nebudeš se jim klaněti, ani jich ctíti. Nebo já jsem Hospodin Bůh tvůj, Bůh silný, horlivý, navštěvující nepravost otců na synech do třetího i čtvrtého pokolení těch, kteříž nenávidí mne,']",low
1498,Eccl 12:8,3,"['Marnost nad marnostmi, řekl kazatel, a všecko marnost.']",low
1499,Prov 26:6,1,"['Jako by nohy osekal, bezpráví se dopouští ten, kdož svěřuje poselství bláznu.']",low
1500,Mark 10:35,1,"['Přijdou k němu Jakub a Jan, synové Zebedeovi, a řeknou mu: „Mistře, přáli bychom si, abys nám učinil, oč bychom tě poprosili.“']",low
1501,Heb 5:14,1,"['Dokonalých pak jest hrubý pokrm; těch kteříž pro zvyklost vycvičené mají smysly, k rozeznání dobrého a zlého.']",low
1502,2Cor 5:8,4,"['Doufánlivé pak mysli jsme, a dobrou vůli máme raději vyjíti z těla, a býti přítomní Pánu.']",low
1503,Matt 15:8,2,['Lid tento ústy mne ctí: ale srdce jejich daleko jest ode mne.'],low
1504,Jdt 13:24,3,"['Požehnaný Pán, kterýž stvořil nebe i zemi, kterýž tebe zpravoval k ránám hlavy knížete nepřátel naších:']",low
1505,1Cor 13:7,2,"['všecko snáší, všemu věří, všeho se naděje, všeho trpělivě čeká.II']",low
1506,1Sam 25:9,2,"['Když přišli služebníci Davidovi, pověděli Nabalovi všecka ta slova jménem Davidovým. Když přestali mluviti,']",low
1507,John 15:17,2,"['Tyto věci přikazuji vám, abyste se mylovali vespolek.']",low
1508,1Chr 29:7,6,"['A dali k službě domu Božího zlata pět tisíc centnéřů, a deset tisíc zlatých, stříbra pak deset tisíc centnéřů, a mědi osmnácte tisíc centnéřů, a železa sto tisíc centnéřů.', 'i dali na stavbu domu Božího zlata pět tisíc hřiven, a deset tisíc zlaťáků, stříbra deset tisíc hřiven, mědi osmnáct tisíc hřiven a železa sto tisíc hřiven.']",low
1509,1John 4:20,4,"['Řekne-li někdo „Miluji Boha“ a nenávidí-li bratra svého, jest lhář; neboť kdo nemiluje bratra svého, kterého vidí, kterak může milovati Boha, jehož nevidí?', 'Řekl-li by kdo: Miluji Boha, a bratra svého nenáviděl by, lhář jest. Nebo kdož nemiluje bratra svého, kteréhož viděl, Boha, kteréhož neviděl, kterak může milovati?']",low
1510,Exod 31:16,3,['Ať zachovávají synové Israelovi sobotu a slaví ji od pokolení do pokolení. Jeť (to) věčná úmluva'],low
1511,1Cor 14:28,1,"['Pakli by nebylo vykladače, nechť mlčí v shromáždění, sám pak sobě nechažť mluví a Bohu.']",low
1512,Matt 8:20,2,"['I dí mu Ježíš: Lišky doupata mají, a ptactvo nebeské hnízda; ale syn člověka nemá, kde by hlavu sklonil .', 'Ježíš mu odpověděl: „Lišky mají doupata a nebeští ptáci hnízda, ale Syn člověka nemá kam položiti hlavu.“']",low
1513,1Cor 7:26,10,"['Mé mínění tedy je toto: V nastávající tísni je to dobré; je dobře, aby člověk zůstal tak, jak jest. ']",low
1514,Jer 34:22,3,"['Aj, já přikáži, dí Hospodin, přivedu je zase k tomuto městu, i budou bojovati proti němu, dobudou ho, a vypálí je ohněm; města pak judská obrátím v pustinu, že budou liduprázdná.']",low
1515,Eph 1:21,2,"['vysoko nade všecko knížectvo, nade vší mocnost i sílu, nade všecko panstvo a nad každé jméno, které se jmenuje nejen ve věku tomto, nýbrž i budoucím.', 'nadevšecko Knížatstvo, i mocnost, i moc, i panstvo, i (nad) všeliké jméno kteréž se jmenuje, netoliko na tomto světě, ale také na budoucím.']",low
1516,1John 3:10,1,"['Po tomtoť zjevní jsou synové Boží a synové ďáblovi. Každý, kdož nečiní spravedlnosti, neníť z Boha, a kdož nemiluje bratra svého.']",low
1517,1John 4:21,2,"['A toto přikázání máme od Boha, aby ten, kdo miluje Boha, miloval též bratra svého.', 'A totoť přikázaní máme od něho, aby ten, kdož miluje Boha, miloval i bratra svého.']",low
1518,Jas 4:12,1,"['Jedenť jest vydavatel zákona, kterýž může spasiti i zatratiti. Ty kdo jsi, ješto tupíš jiného?']",low
1519,Sir 43:29,1,"['I když mnoho mluvíme, nedostává se nám slov, konec pak řeči jest: „Onť jest ve všech věcech.""']",low
1520,2Chr 15:12,3,"['A vešli v smlouvu, aby hledali Hospodina Boha otců svých, z celého srdce svého a ze vší duše své,']",low
1521,Gen 49:22,4,"['Ratolest rostoucí Jozef, ratolest rostoucí podlé studnice; ratolesti vycházely nad zed.']",low
1522,Jer 28:15,2,"['Zatím řekl Jeremiáš prorok Chananiášovi proroku: Slyšiž nyní, Chananiáši: Neposlal tebe Hospodin, ale ty jsi k tomu přivedl, aby lid tento ve lži skládal doufání.', 'Jeremiáš pak prorok řekl Hananiášovi prorokovi toto: „Slyš, Hananiáši! Neposlal tebe Hospodin; ale ty jsi svedl tento lid, aby se spoléhal na lež!']",low
1523,Matt 26:45,3,"['Nato přišel k učeníkům svým a řekl jim: „Spěte již a odpočívejte; hle přiblížila se hodina, a Syn člověka bude vydán v ruce hříšníků.']",low
1524,Luke 18:24,1,"['A viděv jej Ježíš zarmouceného, řekl: Aj, jak nesnadně ti, kdož statky mají, do království Božího vejdou!']",low
1525,Luke 9:58,1,"['Ježíš mu odpověděl: „Lišky mají doupata a nebeští ptáci hnízda, ale Syn člověka nemá kam položiti hlavu.“']",low
1526,Titus 1:15,1,"['Čistému je všecko čisté, ale poskvrněnému a nevěřícímu není nic čistého, poněvadž je poskvrněna jeho mysl i svědomí. ']",low
1527,Mark 7:10,1,"['Neboť Mojžíš pravil: ,Cti otce svého a matku svou‘ a ,Kdo zlořečí otci neb matce, ať umře.‘']",low
1528,Acts 26:9,7,['Já jsem pokládal za svou povinnost podniknouti všecko možné proti jménu Ježíše Nazorejského'],low
1529,Ezra 6:9,2,"['A to, čehož by bylo potřebí, buď volků aneb skopců i beránků k zápalným obětem Boha nebeského, obilé, soli, vína i oleje, jakž by rozkázali kněží Jeruzalémští, nechť se jim dává na každý den, a to beze všeho podvodu,']",low
1530,Deut 33:29,1,"['Blahoslavený jsi, Izraeli. Kdo jest podobný tobě, lide vysvobozený skrze Hospodina, jenž jest pavéza spomožení tvého a meč důstojnosti tvé? Tvoji zajisté nepřátelé poníženi budou, ale ty po všech vyvýšenostech jejich šlapati budeš.']",low
1531,Jer 31:29,1,"['Za těch dnů již nebudou říkat: „Otcové jedli nezralé hrozny, a zuby synů (tím) otupěly.""']",low
1532,Isa 60:14,2,"['Přijdou k tobě skloněni synové tvých utlačovatelů, a skláněti se budou k chodidlům tvých nohou všichni, kteří utrhali tobě; i budou tě nazývati „Městem Hospodinovým"", „Sionem Svatého Israelova"".']",low
1533,Isa 1:4,1,"['Běda národu hříšnému, lidu, jejž vina tíží, plemeni nešlechetnému, dětem pokaženým: opustili Hospodina, Svatého Israelova tupí, (obrátili se [k němu] zády.']",low
1534,1Tim 6:11,12,"['Ale ty, člověče Boží, se toho vystříhej. Usiluj o spravedlnost, zbožnost, víru, lásku, trpělivost, mírnost. ']",low
1535,Heb 6:2,2,"['Křtů učení, a vzkládání rukou, a vzkříšení z mrtvých, i soudu věčného.']",low
1536,Matt 5:6,2,"['Blahoslavení, kteří lačnějí a žiznějí po spravedlnosti, neboť oni nasyceni budou.']",low
1537,Rev 3:15,1,"['Vím skutky tvé, že ani nejsi studený, ani horký: ó bys studený byl aneb horký:']",low
1538,Rev 3:16,1,"['A tak že jsi vlažný, a ani studený, ani horký, vyvrhu tě z úst svých.']",low
1539,Luke 18:17,1,"['Amen pravím vám: Kdož by koli nepřijal království Božího jako dítě, nevejdeť nikoli do něho.']",low
1540,Matt 6:5,1,"['A když se modlíte, nebudete jako pokrytci, kteří obyčej mají v školách a na uhlech ulic stojíce, modliti se, aby byli vidíni od lidí: Amen pravím vám, vzali odplatu svou.']",low
1541,Luke 17:10,1,"['Tak i vy, když učiníte všecko, což vám přikázáno, rcete: Služebníci neužiteční jsme. Což jsme povinni byli učiniti, učinili jsme.']",low
1542,Jer 46:16,9,"['Mnohoť bude těch, kteříž klesnou a padnou jeden na druhého, a řeknou: Vstaň, a navraťme se k lidu svému, a do země, v níž jsme se zrodili, před mečem toho zhoubce.']",low
1543,Matt 19:20,2,['Dí jemu mládenec: „To všecko zachovával jsem od svého mládí. Čeho se mi ještě nedostává?“'],low
1544,3John 1:6,1,"['ti vydali před církví svědectví o tvé lásce. Dobře učiníš, vypravíš-li je dál tak, jak je důstojno Boha.']",low
1545,Exod 20:8,2,"['Pomni na den sobotní, abys jej světil.', 'Pomni, abys den sobotní světil;']",low
1546,Mark 7:8,1,"['Nebo opustivše přikázaní Boží, držíte ustanovení lidská, umývání žejdlíků a koflíků, a jiné věci mnohé těm podobné činíte.']",low
1547,Heb 13:18,1,"['Modlete se za nás; neboť důvěřujeme, že máme dobré svědomí, chtíce ve všem dobře si počínati.']",low
1548,1Cor 9:24,1,"['Zdaliž nevíte, že ti, kteříž v závod běží, všickni zajisté běží, ale jeden béře základ? Tak běžte, abyste dosáhli.']",low
1549,Phil 3:12,1,"['Ne že bych již dosáhl, aneb již dokonalým byl, ale snažně běžím, zda bych i uchvátiti mohl, načež uchvácen jsem od Krista Ježíše.']",low
1550,Ps 79:3,2,"['Před Efraimem, Benjaminem a Manassem vzbuď sílu svoji, a nám na pomoc přispěj!']",low
